id,text,label,notes
wc26_001,France could overload Iraq's right side if the fullback overlaps while the winger moves inside toward the half-space.,match_analysis,clear example
wc26_002,"Brazil did not dominate possession, but their best chances came from the left half-space where the fullback kept underlapping instead of overlapping.",match_analysis,clear example
wc26_003,South Africa's draw with Czechia showed better rest-defense; they kept two midfielders behind the ball before attacking.,match_analysis,clear example
wc26_004,The crowd noise is unreal.,emotional_reaction,clear example
wc26_005,"The third-place race rewards goal difference, so late goals in unrelated matches can change another team's tournament future.",tournament_context,clear example
wc26_006,Brazil are winning the whole thing easily.,unsupported_hot_take,clear example
wc26_007,Curacao getting a point proves this tournament is pure chaos.,unsupported_hot_take,clear example
wc26_008,No way he saved that.,emotional_reaction,clear example
wc26_009,Iran's counterattacks were dangerous because New Zealand's fullbacks pushed at the same time and left both channels exposed.,match_analysis,clear example
wc26_010,The United States hosting most knockout games means travel logistics could become a hidden advantage for teams based there.,tournament_context,clear example
wc26_011,Ecuador are boring and will not survive the knockouts.,unsupported_hot_take,clear example
wc26_012,"Travel distance is not just a fan complaint; it can affect training time, recovery, and tactical preparation.",tournament_context,clear example
wc26_013,Scotland struggled to progress because Haiti pressed the first pass into midfield and forced rushed long balls toward isolated forwards.,match_analysis,clear example
wc26_014,"The expanded format helps smaller nations, but it also makes the group stage harder for casual fans to follow.",tournament_context,clear example
wc26_015,Playing summer matches in hot cities makes hydration breaks and squad depth more important than in cooler tournaments.,tournament_context,clear example
wc26_016,Canada's wide overloads were the difference; Qatar kept leaving the far-side winger open when the ball switched quickly.,match_analysis,clear example
wc26_017,"Expanded qualification means more debut stories, and those stories are a major reason the 2026 format is interesting.",tournament_context,clear example
wc26_018,Germany are back and nobody can stop them now.,unsupported_hot_take,clear example
wc26_019,Senegal need to deny Norway clean crosses because Haaland is almost impossible to handle if the service is uncontested.,match_analysis,clear example
wc26_020,This is cinema.,emotional_reaction,clear example
wc26_021,Norway are just Haaland and vibes.,unsupported_hot_take,clear example
wc26_022,Belgium's problem was tempo: they circulated the ball slowly enough for Iran to reset their block every time.,match_analysis,clear example
wc26_023,South Africa are going to shock Mexico next time.,unsupported_hot_take,clear example
wc26_024,Mexico controlled the first half by keeping the fullbacks high and pinning South Africa's wingers too deep to counter.,match_analysis,clear example
wc26_025,"Croatia's midfield still keeps possession well, but they struggled whenever England attacked before the block could get set.",match_analysis,clear example
wc26_026,A team with four points may still worry about advancement because the best-third-place race depends on results in other groups.,tournament_context,clear example
wc26_027,England beat Croatia's press by using one-touch passes through the third man rather than trying to dribble out centrally.,match_analysis,clear example
wc26_028,Senegal are being massively underrated by everyone.,unsupported_hot_take,clear example
wc26_029,That first touch was filthy.,emotional_reaction,clear example
wc26_030,This match is pure chaos.,emotional_reaction,clear example
wc26_031,France will walk through this group without trying.,unsupported_hot_take,clear example
wc26_032,That goal deserved a better camera angle.,emotional_reaction,clear example
wc26_033,Scotland always find a way to disappoint.,unsupported_hot_take,clear example
wc26_034,What are we even watching?,emotional_reaction,clear example
wc26_035,I feel bad for every defender involved.,emotional_reaction,clear example
wc26_036,Australia are just physical and nothing else.,unsupported_hot_take,clear example
wc26_037,This keeper is a superhero.,emotional_reaction,clear example
wc26_038,That was the loudest I have heard this crowd.,emotional_reaction,clear example
wc26_039,"The Round of 32 means a favorite can survive one bad group result, which changes the risk of early upsets.",tournament_context,clear example
wc26_040,Egypt's pressing triggers are clear: they jump when the opponent plays backward to the fullback.,match_analysis,clear example
